name,position,team,id.4for4,id.dk.w1,id.dk.w2,id.dk.w3,id.dk.w4,id.dk.w7,id.dk.w8,id.dk.w9
Todd Gurley II,RB,LAR,gurlet2,11192254,11250469,11283249,NA,11456954,11503310,11534161
Melvin Gordon III,RB,LAC,gordom1,NA,11250349,11283138,11349285,NA,NA,11534163
Alvin Kamara,RB,NO,kamara1,11192632,11250627,11283395,11349545,11456956,11503430,11534171
Kareem Hunt,RB,KC,huntk1,11192543,11250593,11283360,11349507,NA,11503400,11534169
Julio Jones,WR,ATL,jonesj6,11193133,11250046,11282880,11348984,NA,NA,11534361
Michael Thomas,WR,NO,thomam4,11192140,11250415,11283198,11349345,11457142,11503267,11534363
Davante Adams,WR,GB,adamsd2,11192079,11250387,11283176,11349321,NA,11503246,NA
Joe Mixon,RB,CIN,mixonj1,11192700,NA,11283420,11349572,NA,11503457,NA
A.J. Green,WR,CIN,greena2,11191553,NA,11282882,11348988,NA,11502992,NA
Tyler Boyd,WR,CIN,boydt2,11192463,NA,11283340,11349485,NA,11503384,NA
Tyreek Hill,WR,KC,hillt1,11192749,11250684,11283442,11349592,NA,11503481,11534359
James White,RB,NE,whitej4,11191795,11250218,11283643,11349156,11456962,11503121,NA
Patrick Mahomes,QB,KC,mahomp1,NA,11250752,11283493,11349648,NA,11503526,11534112
Keenan Allen,WR,LAC,allenk1,11191811,11250226,11283018,11349164,NA,NA,11534365
Travis Kelce,TE,KC,kelcet1,11191538,11250040,11282875,11348977,NA,11502983,11534589
Mike Evans,WR,TB,evansm1,11191896,11250290,11283679,11349230,11457144,11503173,11534357
David Johnson,RB,ARI,johnsd12,11191754,11250195,11282995,11349131,NA,11503102,NA
Julian Edelman,WR,NE,edelmj1,11191459,11249974,11283689,11348915,11457156,11502922,NA
Brandin Cooks,WR,LAR,cooksb1,11192038,11250373,11283162,NA,11457150,11503234,11534373
Robert Woods,WR,LAR,woodsr1,11191791,11250216,11283010,NA,11457152,11503119,11534369
