Season,Week,PID,Player,Pos,Team,Opp,aFPA,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2017,15,wilsor1,Russell Wilson,QB,SEA,LAR,11.6,22.4,22,36.1,268.8,1.8,0.7,7.7,45.8,0.3,0,0,0,12.8,3,0,0.3,0,0,A-Game
2017,15,bradyt1,Tom Brady,QB,NE,@PIT,16.2,19.8,24.5,38.1,299,2.1,0.4,1.2,3.3,0,0,0,0,14.3,0.2,0,0.2,0,0,A-Game
2017,15,newtoc1,Cam Newton,QB,CAR,GB,20.3,19.7,20.7,32.2,236.9,1.5,0.8,7.9,43.3,0.4,0,0,0,11.5,2.8,0,0.3,0,0,A-Game
2017,15,breesd1,Drew Brees,QB,NO,NYJ,21,19.3,22.9,34.6,287.4,2.1,0.6,0.4,1.4,0.1,0,0,0,13.6,0.1,0,0.2,0,0,A-Game
2017,15,roethb1,Ben Roethlisberger,QB,PIT,NE,15.3,18.7,24.7,39.1,293.7,2.3,1,1,3.2,0,0,0,0,14.1,0.2,0,0.2,0,0,A-Game
2017,15,prescd1,Dak Prescott,QB,DAL,@OAK,18.1,18,21.5,32.6,242,1.6,0.8,3.9,21.7,0.3,0,0,0,11.8,1.4,0,0.2,0,0,A-Game
2017,15,riverp1,Philip Rivers,QB,LAC,@KC,20.8,17.6,21.6,36,272.7,2.2,0.9,0.7,2.5,0,0,0,0,12.9,0.2,0,0.2,0,0,A-Game
2017,15,staffm1,Matthew Stafford,QB,DET,CHI,11,17.6,23.7,36.2,269.9,1.8,0.8,1.8,9.1,0.2,0,0,0,13.1,0.6,0,0.3,0,0,A-Game
2017,15,rodgea1,Aaron Rodgers,QB,GB,@CAR,14.6,17.4,21.9,34.8,260.7,1.5,0.4,2.4,13.8,0.1,0,0,0,12.5,0.9,0,0.2,0,0,A-Game
2017,15,keenuc1,Case Keenum,QB,MIN,CIN,18.7,17.3,21.1,33,259.6,1.7,0.7,2.9,12.5,0.1,0,0,0,12.4,0.8,0,0.2,0,0,A-Game
2017,15,ryanm1,Matt Ryan,QB,ATL,@TB,15.3,17.2,23.6,35.1,274.7,1.9,0.8,2.4,8.6,0,0,0,0,13.3,0.6,0,0.2,0,0,A-Game
2017,15,cousik1,Kirk Cousins,QB,WAS,ARI,16.2,17.1,21.9,35,251.8,1.7,0.9,3.4,10.4,0.3,0,0,0,12.2,0.7,0,0.3,0,0,A-Game
2017,15,bortlb1,Blake Bortles,QB,JAX,HOU,20.5,17.1,18.7,30.2,229.9,1.5,0.6,4.2,26.6,0.2,0,0,0,10.9,1.7,0,0.3,0,0,A-Game
2017,15,smitha4,Alex Smith,QB,KC,LAC,11.3,16.8,22.1,34.7,245.3,1.6,1,4.9,23.9,0.1,0,0,0,12,1.6,0,0.2,0,0,A-Game
2017,15,winstj1,Jameis Winston,QB,TB,ATL,15.8,15.5,23.5,37.2,259,1.6,1,2.4,9.4,0.1,0,0,0,12.7,0.6,0,0.3,0,0,B-Game
2017,15,goffj1,Jared Goff,QB,LAR,@SEA,14.9,15.5,21.1,35.1,258.1,1.6,1,1.7,5.7,0.1,0,0,0,12.3,0.4,0,0.3,0,0,B-Game
2017,15,garopj1,Jimmy Garoppolo,QB,SF,TEN,13.6,15.3,21.5,36.2,260.3,1.6,0.9,1.1,3,0.1,0,0,0,12.4,0.2,0,0.2,0,0,B-Game
2017,15,folesn1,Nick Foles,QB,PHI,@NYG,19.5,15.3,19.8,31.9,235.4,1.6,0.7,2.7,8.3,0.1,0,0,0,11.3,0.5,0,0.2,0,0,B-Game
2017,15,mariom1,Marcus Mariota,QB,TEN,@SF,19.6,15.1,19.9,32.3,227.9,1.3,0.9,3.3,17.6,0.2,0,0,0,11,1.1,0,0.3,0,0,B-Game
2017,15,carrd2,Derek Carr,QB,OAK,DAL,15.4,14.9,23.1,36,248.3,1.5,0.5,1.1,3.1,0,0,0,0,12.2,0.2,0,0.3,0,0,B-Game
2017,15,gabbeb1,Blaine Gabbert,QB,ARI,@WAS,15.8,14.4,21.2,35.5,242.4,1.4,1.2,4.6,16.6,0.1,0,0,0,11.7,1.1,0,0.3,0,0,B-Game
2017,15,siemit1,Trevor Siemian,QB,DEN,@IND,16.3,14.3,19.6,33.1,228.2,1.3,0.8,4.1,14,0.1,0,0,0,11,0.9,0,0.3,0,0,B-Game
2017,15,flaccj1,Joe Flacco,QB,BAL,@CLE,17,13.9,21.1,31.9,232.7,1.4,0.7,1.6,4.1,0.1,0,0,0,11.4,0.3,0,0.3,0,0,C-Game
2017,15,kizerd1,DeShone Kizer,QB,CLE,BAL,10.7,13.8,18.4,33.1,209.5,1.1,1.1,6.8,29,0.2,0,0,0,10.2,1.9,0,0.4,0,0,C-Game
2017,15,taylot2,Tyrod Taylor,QB,BUF,MIA,16.9,13.4,17.7,29.1,190.3,1,0.8,4,22.5,0.3,0,0,0,9.4,1.5,0,0.3,0,0,C-Game
2017,15,trubim1,Mitch Trubisky,QB,CHI,@DET,19.6,13.4,19.1,31.4,211.6,1.1,1,4.8,23.6,0.1,0,0,0,10.3,1.5,0,0.3,0,0,C-Game
2017,15,brissj1,Jacoby Brissett,QB,IND,DEN,14.1,13.2,18.6,31.6,208.2,1.1,1.1,3.8,17.3,0.2,0,0,0,10.1,1.1,0,0.3,0,0,C-Game
2017,15,daltoa1,Andy Dalton,QB,CIN,@MIN,12.8,11.4,19.6,33.8,212.2,1.1,1.1,3.2,11.5,0.1,0,0,0,10.4,0.7,0,0.3,0,0,C-Game
2017,15,mannie1,Eli Manning,QB,NYG,PHI,12.5,10.2,20.8,35.2,210.1,1,1.1,0.8,2.2,0,0,0,0,10.5,0.1,0,0.3,0,0,C-Game
2017,15,cutlej1,Jay Cutler,QB,MIA,@BUF,13.7,10,20.3,32.7,203,1,1,1.1,2.7,0,0,0,0,10.2,0.2,0,0.3,0,0,C-Game
2017,15,pettyb1,Bryce Petty,QB,NYJ,@NO,14.9,10,21,34.3,216.8,1,1.4,1.4,6.2,0,0,0,0,10.8,0.4,0,0.3,0,0,C-Game
2017,15,yatest1,T.J. Yates,QB,HOU,@JAX,9.7,9.9,17.9,32.3,195.1,0.9,1.1,1.3,11,0,0,0,0,9.6,0.7,0,0.3,0,0,C-Game
2017,15,belll1,LeVeon Bell,RB,PIT,NE,16.9,24,0,0,0,0,0,19.9,90.6,0.5,6.1,52.9,0.2,0,4.5,2.4,0.2,0,0,A-Game
2017,15,kamara1,Alvin Kamara,RB,NO,NYJ,15,22.2,0,0,0,0,0,15,59,0.5,5.2,57.5,0.4,0,3,2.6,0.1,0,0,A-Game
2017,15,gurlet2,Todd Gurley,RB,LAR,@SEA,14.1,21.2,0,0,0,0,0,18.2,77.5,0.6,4.1,45.2,0.3,0,3.9,2.1,0.2,0,0,A-Game
2017,15,fournl1,Leonard Fournette,RB,JAX,HOU,19,18.7,0,0,0,0,0,21.8,88.3,0.8,2.6,20.7,0.1,0,4.4,0.9,0.2,0,0,A-Game
2017,15,mccoyl2,LeSean McCoy,RB,BUF,MIA,19.5,17.6,0,0,0,0,0,18.2,87.3,0.5,3.5,23.8,0.1,0,4.4,1.1,0.2,0,0,A-Game
2017,15,ingram1,Mark Ingram,RB,NO,NYJ,15,17.5,0,0,0,0,0,14.2,75.4,0.7,3.1,23,0.1,0,3.8,1.1,0.1,0,0,A-Game
2017,15,drakek1,Kenyan Drake,RB,MIA,@BUF,25.2,17.3,0,0,0,0,0,23.9,96.1,0.5,3,17.3,0.1,0,4.8,0.8,0.2,0,0,A-Game
2017,15,huntk1,Kareem Hunt,RB,KC,LAC,15.7,17,0,0,0,0,0,19.2,76.1,0.5,3.1,27,0.1,0,3.8,1.2,0.2,0,0,A-Game
2017,15,bernag1,Giovani Bernard,RB,CIN,@MIN,14.8,16.6,0,0,0,0,0,16.9,68.1,0.3,4.1,38.2,0.1,0,3.4,1.7,0.2,0,0,A-Game
2017,15,willij10,Jamaal Williams,RB,GB,@CAR,14.4,16.1,0,0,0,0,0,17.1,70.1,0.4,3.6,30,0.1,0,3.5,1.4,0.2,0,0,A-Game
